Périodes;;2025T4;2025T3;2025T2;2025T1;2024T4;2024T3;2024T2;2024T1;2023T4;2023T3;2023T2;2023T1;2022T4;2022T3;2022T2;2022T1;2021T4;2021T3;2021T2;2021T1;2020T4;2020T3;2020T2;2020T1;2019T4;2019T3;2019T2;2019T1;2018T4;2018T3;2018T2;2018T1;2017T4;2017T3;2017T2;2017T1;2016T4;2016T3;2016T2;2016T1;2015T4;2015T3;2015T2;2015T1;2014T4;2014T3;2014T2;2014T1;2013T4;2013T3;2013T2;2013T1;2012T4;2012T3;2012T2;2012T1;2011T4;2011T3;2011T2;2011T1;2010T4;2010T3;2010T2;2010T1;2009T4;2009T3;2009T2;2009T1;2008T4;2008T3;2008T2;2008T1;2007T4;2007T3;2007T2;2007T1;2006T4;2006T3;2006T2;2006T1
Type diplôme;Sexe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ayant un diplôme:  Niveau supérieur ;Total;25.7;25.7;24.6;24.4;25.9;26.2;25.0;25.7;26.8;26.2;25;25.8;27.6;25.5;23.9;26.7;26.8;25.7;25.3;26.2;26.2;23.5;22.3;23.8;23.4;20.6;20;23.5;22.4;22.1;22.2;25.4;24.5;23.5;21.8;24.4;23.4;22.3;20.4;21.8;22.6;21;20.8;19.9;21.5;20;20.3;20.9;19.8;18.1;18.6;19.6;19;20.3;17.6;18.7;20.8;19.7;18.9;18.1;19;19.4;16;18.2;17.9;21.5;16;18.8;18.4;21.1;18.6;20.8;20.9;21.7;20.6;20.2;21.4;20.7;17.1;18.9
